,Unnamed: 0,group,variable,value
0,0,1,Balboa Park,38.0
1,1,1,East Village,41.0
2,2,1,Gaslamp Quarter,40.0
3,3,1,La Jolla,54.0
4,4,1,Loma Portal,44.0
5,5,1,Midtown,40.0
6,6,1,Mission Bay,56.0
7,7,1,North Hills,32.0
8,8,1,Ocean Beach,44.0
9,9,1,Pacific Beach,49.0
10,10,2,Balboa Park,37.0
11,11,2,East Village,42.0
12,12,2,Gaslamp Quarter,41.0
13,13,2,La Jolla,51.0
14,14,2,Loma Portal,43.0
15,15,2,Midtown,41.0
16,16,2,Mission Bay,54.0
17,17,2,North Hills,32.0
18,18,2,Ocean Beach,43.0
19,19,2,Pacific Beach,49.0
20,20,3,Balboa Park,35.0
21,21,3,East Village,42.0
22,22,3,Gaslamp Quarter,40.0
23,23,3,La Jolla,46.0
24,24,3,Loma Portal,39.0
25,25,3,Midtown,38.0
26,26,3,Mission Bay,48.0
27,27,3,North Hills,30.0
28,28,3,Ocean Beach,40.0
29,29,3,Pacific Beach,45.0
30,30,4,Balboa Park,57.0
31,31,4,East Village,58.0
32,32,4,Gaslamp Quarter,66.0
33,33,4,La Jolla,52.0
34,34,4,Loma Portal,45.0
35,35,4,Midtown,52.0
36,36,4,Mission Bay,51.0
37,37,4,North Hills,48.0
38,38,4,Ocean Beach,54.0
39,39,4,Pacific Beach,52.0
40,40,5,Balboa Park,73.0
41,41,5,East Village,73.0
42,42,5,Gaslamp Quarter,76.0
43,43,5,La Jolla,65.0
44,44,5,Loma Portal,60.0
45,45,5,Midtown,67.0
46,46,5,Mission Bay,65.0
47,47,5,North Hills,66.0
48,48,5,Ocean Beach,69.0
49,49,5,Pacific Beach,64.0
50,50,6,Balboa Park,70.0
51,51,6,East Village,74.0
52,52,6,Gaslamp Quarter,74.0
53,53,6,La Jolla,65.0
54,54,6,Loma Portal,62.0
55,55,6,Midtown,66.0
56,56,6,Mission Bay,62.0
57,57,6,North Hills,68.0
58,58,6,Ocean Beach,67.0
59,59,6,Pacific Beach,62.0
60,60,7,Balboa Park,64.0
61,61,7,East Village,60.0
62,62,7,Gaslamp Quarter,66.0
63,63,7,La Jolla,56.0
64,64,7,Loma Portal,55.0
65,65,7,Midtown,54.0
66,66,7,Mission Bay,51.0
67,67,7,North Hills,57.0
68,68,7,Ocean Beach,55.0
69,69,7,Pacific Beach,54.0
70,70,8,Balboa Park,71.0
71,71,8,East Village,68.0
72,72,8,Gaslamp Quarter,73.0
73,73,8,La Jolla,66.0
74,74,8,Loma Portal,66.0
75,75,8,Midtown,63.0
76,76,8,Mission Bay,68.0
77,77,8,North Hills,66.0
78,78,8,Ocean Beach,62.0
79,79,8,Pacific Beach,66.0
80,80,9,Balboa Park,67.0
81,81,9,East Village,65.0
82,82,9,Gaslamp Quarter,69.0
83,83,9,La Jolla,71.0
84,84,9,Loma Portal,66.0
85,85,9,Midtown,59.0
86,86,9,Mission Bay,70.0
87,87,9,North Hills,62.0
88,88,9,Ocean Beach,61.0
89,89,9,Pacific Beach,69.0
90,90,10,Balboa Park,57.0
91,91,10,East Village,60.0
92,92,10,Gaslamp Quarter,66.0
93,93,10,La Jolla,67.0
94,94,10,Loma Portal,58.0
95,95,10,Midtown,51.0
96,96,10,Mission Bay,67.0
97,97,10,North Hills,48.0
98,98,10,Ocean Beach,58.0
99,99,10,Pacific Beach,65.0
100,100,11,Balboa Park,55.0
101,101,11,East Village,60.0
102,102,11,Gaslamp Quarter,63.0
103,103,11,La Jolla,68.0
104,104,11,Loma Portal,58.0
105,105,11,Midtown,51.0
106,106,11,Mission Bay,69.0
107,107,11,North Hills,48.0
108,108,11,Ocean Beach,57.0
109,109,11,Pacific Beach,65.0
110,110,12,Balboa Park,51.0
111,111,12,East Village,53.0
112,112,12,Gaslamp Quarter,53.0
113,113,12,La Jolla,64.0
114,114,12,Loma Portal,53.0
115,115,12,Midtown,49.0
116,116,12,Mission Bay,66.0
117,117,12,North Hills,42.0
118,118,12,Ocean Beach,53.0
119,119,12,Pacific Beach,61.0
